Utterance,Environment,Method,ReferenceSNR_dB,ReferenceSNRGain_dB,NonSpeechAttenuation_dB,SpeechLevelChange_dB,Runtime_s,NoiseUpdateFraction,NoiseEvaluation_s,SpeechEvaluation_s,IdentityRelativeError
butter,factory,original,2.98559806119311,0,0,0,0,NaN,0.19575,2.1516875,2.02524408789627e-16
butter,factory,fixed,7.84184079634592,4.85624273515282,8.62340857300607,-2.29609801273438,0.017326,0,0.19575,2.1516875,2.02524408789627e-16
butter,factory,vad,6.98580701224019,4.00020895104708,8.82583278597606,-2.6125373268747,0.015033,0.334645669291339,0.19575,2.1516875,2.02524408789627e-16
butter,volvo,original,7.1833805926404,0,0,0,0,NaN,0.07075,2.1516875,2.04061471700549e-16
butter,volvo,fixed,14.1232207691807,6.93984017654028,10.8930151581843,-1.17529647063103,0.018534,0,0.07075,2.1516875,2.04061471700549e-16
butter,volvo,vad,12.2788773718959,5.09549677925548,10.6741539046395,-1.26450887359106,0.010539,0.119834710743802,0.07075,2.1516875,2.04061471700549e-16
scholars,factory,original,9.97914231740751,0,0,0,0,NaN,0.1893125,1.464375,2.06861895368517e-16
scholars,factory,fixed,14.9007213923454,4.92157907493792,11.6261092530936,-0.806810757162924,0.007685,0,0.1893125,1.464375,2.06861895368517e-16
scholars,factory,vad,13.9912745006326,4.0121321832251,10.2333777044588,-0.983033863659762,0.009263,0.358974358974359,0.1893125,1.464375,2.06861895368517e-16
scholars,volvo,original,13.7504391079253,0,0,0,0,NaN,0.1893125,1.464375,2.12390001781021e-16
scholars,volvo,fixed,19.9554071310336,6.20496802310826,8.76143871023081,-0.378593025204299,0.007631,0,0.1893125,1.464375,2.12390001781021e-16
scholars,volvo,vad,19.500622996737,5.75018388881164,8.98332871724197,-0.402942132853519,0.007929,0.107692307692308,0.1893125,1.464375,2.12390001781021e-16
