CaseID,Split,Noise,NominalSNR_dB,NoiseVariation_dB,VADminusFixedSNR_dB,VADminusFixedSTOI
sp01_car_0dB,development,car,0,2.46150646031882,-1.67655687801461,-0.0042182931198228
sp01_car_5dB,development,car,5,2.79087672990229,-0.269292350335206,-0.0130497100082473
sp01_car_10dB,development,car,10,3.94020364399216,0.315154221552538,-0.00514701835354814
sp01_car_15dB,development,car,15,2.28416772236182,-0.18437169064968,-0.0108888903272161
sp01_street_0dB,development,street,0,3.37128201271493,-0.869412943470362,0.0050162274511879
sp01_street_5dB,development,street,5,9.01948651106336,-0.0185386263993141,-0.000342661108029607
sp01_street_10dB,development,street,10,12.6679272949517,0.805247584974342,0.0103488374547946
sp01_street_15dB,development,street,15,6.36323830671735,0.90829277600378,-0.00390778995206775
sp06_car_0dB,evaluation,car,0,2.30750039047582,-0.430739392163006,0.00108044931195617
sp06_car_5dB,evaluation,car,5,4.09438094880982,0.281872165885906,-0.00459599160117852
sp06_car_10dB,evaluation,car,10,3.58719867503223,2.02708337059337,0.0159591182104102
sp06_car_15dB,evaluation,car,15,2.18906748107621,-0.270522963568709,-0.0123974818678335
sp06_street_0dB,evaluation,street,0,10.1130638712974,0.279986962165137,-0.00196044851568722
sp06_street_5dB,evaluation,street,5,3.47471859496131,0.103920435863824,-0.00962723072882832
sp06_street_10dB,evaluation,street,10,8.39718269935331,-0.373110654482106,-0.00595428180497648
sp06_street_15dB,evaluation,street,15,2.76853113626732,-0.208264987159055,-0.0154718060304874
sp11_car_0dB,evaluation,car,0,4.5795383970228,0.517478749730678,-0.00367925449142109
sp11_car_5dB,evaluation,car,5,2.65145400910016,-0.738534703775185,-0.0351955430871628
sp11_car_10dB,evaluation,car,10,3.39208720003406,0.937571664504144,-0.00634732963078644
sp11_car_15dB,evaluation,car,15,4.14095173909433,0.353897664525022,-0.00413548663550589
sp11_street_0dB,evaluation,street,0,8.84417849436816,-1.05397194476954,-0.0106098160822394
sp11_street_5dB,evaluation,street,5,10.190468773144,0.896912908760563,7.50093206633995e-05
sp11_street_10dB,evaluation,street,10,12.397943626405,0.765404624420261,0.0110669867158637
sp11_street_15dB,evaluation,street,15,5.04753448819567,0.0987181294901305,-0.00350850383434298
sp16_car_0dB,development,car,0,2.29719143613599,-0.460643442553534,-0.0233169213171455
sp16_car_5dB,development,car,5,2.13664499525584,-0.175321794403882,-0.0264744920307474
sp16_car_10dB,development,car,10,5.40334864433068,0.065197620018834,-0.00940479904636071
sp16_car_15dB,development,car,15,2.78063398628414,-0.502959110782033,-0.00717197913847656
sp16_street_0dB,development,street,0,4.86571930377723,1.36291622760388,-0.00331476553463428
sp16_street_5dB,development,street,5,5.36690856506273,0.188641759425185,-0.0155929583540514
sp16_street_10dB,development,street,10,8.08797560610036,1.07925674974252,0.00678091765952271
sp16_street_15dB,development,street,15,4.83520754325154,0.315877766250022,-0.00337189489964307
sp21_car_0dB,evaluation,car,0,2.71969707725742,-0.206530196579768,0.00435986141817701
sp21_car_5dB,evaluation,car,5,4.10499239203702,0.164231436714467,-0.00965417322186224
sp21_car_10dB,evaluation,car,10,2.65065440950148,-0.103906073571315,0.000344100486611265
sp21_car_15dB,evaluation,car,15,2.14737666664215,-0.00901453526125096,-0.00150965599488306
sp21_street_0dB,evaluation,street,0,5.94329585967698,0.445357014160126,0.0103039443249212
sp21_street_5dB,evaluation,street,5,7.01970110585406,0.399432855750117,-0.0102862095099225
sp21_street_10dB,evaluation,street,10,10.9556271773833,0.712810940906545,-0.00646821762092897
sp21_street_15dB,evaluation,street,15,6.0274964853906,-0.020843972456781,-0.00228760296962638
sp26_car_0dB,evaluation,car,0,2.18136239753239,-1.00988976360217,-0.0236561086997447
sp26_car_5dB,evaluation,car,5,3.01526028096324,-0.35249058423023,-0.0212204351942546
sp26_car_10dB,evaluation,car,10,2.35604484495388,0.0639461338086633,-0.00847846849283429
sp26_car_15dB,evaluation,car,15,2.20091767294421,-0.436010471528931,-0.00720466203772019
sp26_street_0dB,evaluation,street,0,13.1523464312579,0.1859518787922,0.0432346047711601
sp26_street_5dB,evaluation,street,5,13.4130633905979,-0.549958196696129,-0.00538831477748858
sp26_street_10dB,evaluation,street,10,6.00917538199985,0.0435716522998923,0.00041222345813674
sp26_street_15dB,evaluation,street,15,11.4827641448403,0.577740396666979,-0.00669642753788702
