Utterance,Environment,Method,ReferenceSNRGain_dB,NoiseUpdateFraction,ReferenceSNR_dB,NonSpeechAttenuation_dB,SpeechLevelChange_dB,NoiseEvaluation_s,SpeechEvaluation_s
butter,factory,original,0.0,0,2.985598061193095,0.0,0.0,0.19575,2.1516875
butter,factory,fixed,4.856242735152817,0,7.841840796345911,8.623408573006074,-2.296098012734385,0.19575,2.1516875
butter,factory,vad,4.000208951047075,0.3346456692913386,6.985807012240169,8.825832785976056,-2.6125373268746914,0.19575,2.1516875
butter,volvo,original,0.0,0,7.183380592640408,0.0,0.0,0.07075,2.1516875
butter,volvo,fixed,6.939840176540282,0,14.12322076918069,10.893015158184342,-1.1752964706310354,0.07075,2.1516875
butter,volvo,vad,5.095496779255476,0.11983471074380166,12.278877371895884,10.67415390463948,-1.264508873591068,0.07075,2.1516875
scholars,factory,original,0.0,0,9.979142317407494,0.0,0.0,0.1893125,1.464375
scholars,factory,fixed,4.921579074937943,0,14.900721392345437,11.626109253093569,-0.8068107571629326,0.1893125,1.464375
scholars,factory,vad,4.01213218322512,0.358974358974359,13.991274500632613,10.233377704458764,-0.983033863659764,0.1893125,1.464375
scholars,volvo,original,0.0,0,13.75043910792532,0.0,0.0,0.1893125,1.464375
scholars,volvo,fixed,6.204968023108258,0,19.955407131033578,8.7614387102308,-0.37859302520429383,0.1893125,1.464375
scholars,volvo,vad,5.7501838888116374,0.1076923076923077,19.500622996736958,8.983328717241971,-0.40294213285351743,0.1893125,1.464375
